"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
10;Educación;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;GBA;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Pampeana;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Noreste;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Noroeste;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Cuyo;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Patagonia;Diciembre - 2016
12;Bienes y servicios varios;Nivel general y divisiones COICOP;100;0.00;0.00;Nacional;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;GBA;Diciembre - 2016
Estacional;Na;Categorias;100;0.00;0.00;Pampeana;Diciembre - 2016
